data_id;rule_id;context_type;base_form;transformed_form;full_context_de;full_context_en;focus_element;transformation_type;case_involved;person_number;tense_mood;difficulty;tags;cultural_note
GD173;G023;word_order;Ich weiß nicht. Er kommt.;Ich weiß nicht, ob er kommt.;Sentence combination;word_order;;;present;4;conjunction,ob;`ob` introduces an indirect yes/no question. Verb to the end.
GD174;G023;word_order;Ich gehe nach Hause. Es ist spät.;Ich gehe nach Hause, weil es spät ist.;Sentence combination;word_order;;;present;4;conjunction,weil;
GD175;G023;word_order;Er sagt. Er hat keine Zeit.;Er sagt, dass er keine Zeit hat.;Sentence combination;word_order;;;present;4;conjunction,dass;
GD176;G026;transformation;viel;mehr;Ich habe viel Arbeit, aber du hast mehr Arbeit.;I have a lot of work, but you have more work.;Comparative;comparison;;;present;3;comparative,irregular;
GD177;G026;transformation;viel;am meisten;Wer hat das meiste Geld?;Who has the most money?;Superlative;comparison;;;present;4;superlative,irregular;
GD178;G026;transformation;gern;am liebsten;Am liebsten trinke ich Wasser.;I like to drink water most of all.;Superlative;comparison;;;present;4;superlative,gern;
GD179;G025;declension;ein alter Mann;einem alten Mann;Ich helfe einem alten Mann.;I am helping an old man.;Ending (-en);declension;dat;1sg;present;5;adjective-declension,mixed;After dative `einem`, adjective ending is -en.
GD180;G025;declension;eine neue Tasche;eine neue Tasche;Ich habe eine neue Tasche.;I have a new bag.;Ending (-e);declension;acc;1sg;present;4;adjective-declension,mixed;After accusative `eine`, adjective ending is -e.
GD181;G025;declension;kaltes Wasser;kaltes Wasser;Ich trinke nur kaltes Wasser.;I only drink cold water.;Ending (-es);declension;acc;1sg;present;5;adjective-declension,strong;After no article (neuter, acc), adjective ending is -es.
GD182;G025;declension;guter Wein;guten Wein;Er kauft guten Wein.;He buys good wine.;Ending (-en);declension;acc;3sg;present;5;adjective-declension,strong;After no article (masculine, acc), adjective ending is -en.
GD183;G004;declension;Wer?;Wer ist das?;Question word as subject;declension;nom;;present;2;question-word,nominative;
GD184;G006;declension;Wen?;Wen siehst du?;Question word as direct object;declension;acc;;present;3;question-word,accusative;
GD185;G016;declension;Wem?;Wem hilfst du?;Question word as indirect object;declension;dat;;present;4;question-word,dative;
GD186;G008;transformation;Ich war im Büro.;Warst du im Büro?;Präteritum Statement -> Question;word_order;;2sg;präteritum;3;präteritum,sein,question;A1 learners often see Präteritum of `sein` and `haben`.
GD187;G008;transformation;Er hatte Glück.;Hatte er Glück?;Präteritum Statement -> Question;word_order;;3sg;präteritum;3;präteritum,haben,question;
GD188;G008;conjugation;ich war;er war;Er war letztes Jahr in Italien.;He was in Italy last year.;Präteritum conjugation;conjugation;;3sg;präteritum;3;präteritum,sein;
GD189;G008;conjugation;ich hatte;sie hatten;Sie hatten keine andere Wahl.;They had no other choice.;Präteritum conjugation;conjugation;;3pl;präteritum;3;präteritum,haben;
GD190;G010;sentence_structure;Ich möchte zahlen.;Ich möchte bitte zahlen.;Politeness;word_order;;1sg;present;2;modal,polite;Adding `bitte` is crucial.
GD191;G010;sentence_structure;Ich will ein Wasser.;Ich hätte gern ein Wasser.;Politeness;mood_change;;1sg;present;3;modal,polite;`hätte gern` is even more polite than `möchte`.
GD192;G021;transformation;kennenlernen;lerne kennen;Ich lerne dich gern kennen.;I am happy to get to know you.;prefix -> end;word_order;;1sg;present;4;separable-verb,kennenlernen;
GD193;G021;transformation;weh tun;tut weh;Mein Rücken tut mir weh.;My back hurts me.;prefix -> end, dative pronoun;word_order;dat;3sg;present;4;separable-verb,wehtun;Commonly used with a dative pronoun.
GD194;G021;transformation;spazieren gehen;gehen spazieren;Wir gehen am Abend spazieren.;We go for a walk in the evening.;prefix -> end;word_order;;1pl;present;3;separable-verb,spazierengehen;
GD195;G017;sentence_structure;Ich fahre mit (das Fahrrad).;Ich fahre mit dem Fahrrad.;Article declension;declension;dat;1sg;present;3;dative-preposition,mit;
GD196;G017;sentence_structure;Das Buch ist von (der Autor).;Das Buch ist von dem Autor.;Article declension;declension;dat;3sg;present;3;dative-preposition,von;
GD197;G017;sentence_structure;Sie geht zu (ihre Freundin).;Sie geht zu ihrer Freundin.;Possessive declension;declension;dat;3sg;present;4;dative-preposition,zu;
GD198;G006;declension;unser Hund;unseren Hund;Wir lieben unseren Hund.;We love our dog.;unser -> unseren;declension;acc;1pl;present;3;accusative,masculine,possessive;
GD199;G006;declension;euer Ball;euren Ball;Ich habe euren Ball gefunden.;I found your (plural) ball.;euer -> euren;declension;acc;1sg;present;3;accusative,masculine,possessive;
GD200;G006;declension;Ihr Ticket;Ihr Ticket;Haben Sie Ihr Ticket?;Do you have your ticket?;Ihr -> Ihr (no change);declension;acc;2sg;present;2;accusative,neuter,possessive,formal;
GD201;G010;sentence_structure;Ich kann nicht kommen.;Warum kannst du nicht kommen?;Modal Verb Question;word_order;;2sg;present;3;modal,können,question,w-frage;
GD202;G010;sentence_structure;Du sollst das machen.;Soll ich das machen?;Modal Verb Question (pronoun change);word_order;;1sg;present;3;modal,sollen,question;
GD203;G007;negation;Ich esse Fleisch.;Ich esse kein Fleisch.;Indefinite noun negation;negation;acc;;present;2;negation,kein,food;
GD204;G007;negation;Ich habe Geschwister.;Ich habe keine Geschwister.;Plural noun negation;negation;acc;;present;2;negation,kein,plural;
GD205;G007;negation;Der Kaffee ist heiß.;Der Kaffee ist nicht heiß.;Adjective negation;negation;;;present;1;negation,nicht;
GD206;G007;negation;Sie ist meine Freundin.;Sie ist nicht meine Freundin.;Possessive negation;negation;;;present;2;negation,nicht,possessive;
GD207;G011;transformation;erfinden -> erfunden;er hat erfunden;Wer hat das Telefon erfunden?;Who invented the telephone?;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,haben,inseparable;
GD208;G011;transformation;verstehen -> verstanden;hast du verstanden;Hast du alles verstanden?;Did you understand everything?;Participle Formation (Irregular);tense_change;;2sg;perfekt;4;perfekt,haben,inseparable,question;
GD209;G011;transformation;nehmen -> genommen;wir haben genommen;Wir haben den letzten Zug genommen.;We took the last train.;Participle Formation (Irregular);tense_change;;1pl;perfekt;4;perfekt,haben,irregular;
GD210;G011;transformation;geben -> gegeben;ich habe gegeben;Ich habe ihm mein Wort gegeben.;I gave him my word.;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,haben,irregular;
GD211;G012;transformation;schwimmen -> geschwommen;ich bin geschwommen;Ich bin im See geschwommen.;I swam in the lake.;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,sein,irregular;
GD212;G012;transformation;laufen -> gelaufen;er ist gelaufen;Er ist einen Marathon gelaufen.;He ran a marathon.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,sein,irregular;
GD213;G012;transformation;passieren -> passiert;es ist passiert;Was ist passiert?;What happened?;Participle Formation (-ieren);tense_change;;3sg;perfekt;3;perfekt,sein,ieren-verb;
GD214;G012;transformation;bleiben -> geblieben;ihr seid geblieben;Warum seid ihr nicht länger geblieben?;Why didn't you all stay longer?;Participle Formation (Irregular);tense_change;;2pl;perfekt;4;perfekt,sein,irregular;
GD215;G016;declension;ein guter Freund;einem guten Freund;Ich spreche mit einem guten Freund.;I'm speaking with a good friend.;Ending (-em, -en);declension;dat;1sg;present;5;dative,adjective-declension,mixed;
GD216;G016;declension;meine kleine Schwester;meiner kleinen Schwester;Ich helfe meiner kleinen Schwester.;I help my little sister.;Ending (-er, -en);declension;dat;1sg;present;5;dative,adjective-declension,mixed;
GD217;G016;declension;kaltes Bier;kaltem Bier;Nach der Arbeit trinke ich gern ein Bier mit kaltem Schaum.;After work I like to drink a beer with cold foam.;Ending (-em);declension;dat;1sg;present;5;dative,adjective-declension,strong;
GD218;G017;sentence_structure;Ich fahre mit (der Zug).;Ich fahre mit dem Zug.;Article declension;declension;dat;1sg;present;3;dative-preposition,mit;
GD219;G017;sentence_structure;Seit (der Tag) liebe ich dich.;Seit dem Tag liebe ich dich.;Article declension;declension;dat;1sg;present;4;dative-preposition,seit;
GD220;G017;sentence_structure;Die Bäckerei ist gegenüber (die Post).;Die Bäckerei ist gegenüber der Post.;Article declension;declension;dat;3sg;present;3;dative-preposition,gegenüber;
GD221;G018;sentence_structure;Wir gehen durch (der Park).;Wir gehen durch den Park.;Article declension;declension;acc;1pl;present;3;accusative-preposition,durch;
GD222;G018;sentence_structure;Das ist gegen (mein Plan).;Das ist gegen meinen Plan.;Possessive declension;declension;acc;3sg;present;3;accusative-preposition,gegen;
GD223;G018;sentence_structure;Fahr nicht ohne (der Helm)!;Fahr nicht ohne den Helm!;Article declension;declension;acc;2sg;imperative;3;accusative-preposition,ohne;
GD224;G019;sentence_structure;Das Kind springt in (das Wasser).;Das Kind springt ins Wasser.;Contraction (in+das);declension;acc;3sg;present;4;two-way-preposition,direction;
GD225;G019;sentence_structure;Der Fisch schwimmt in (das Wasser).;Der Fisch schwimmt im Wasser.;Contraction (in+dem);declension;dat;3sg;present;4;two-way-preposition,location;
GD226;G019;sentence_structure;Wir fahren an (der Strand).;Wir fahren an den Strand.;Article declension;declension;acc;1pl;present;4;two-way-preposition,direction;
GD227;G019;sentence_structure;Wir sind an (der Strand).;Wir sind am Strand.;Contraction (an+dem);declension;dat;1pl;present;4;two-way-preposition,location;
GD228;G019;sentence_structure;Setz dich zwischen (ich und er).;Setz dich zwischen mich und ihn.;Pronoun declension;declension;acc;2sg;imperative;5;two-way-preposition,direction,pronoun;`zwischen` takes accusative for direction.
GD229;G019;sentence_structure;Der Platz zwischen (ich und er) ist frei.;Der Platz zwischen mir und ihm ist frei.;Pronoun declension;declension;dat;3sg;present;5;two-way-preposition,location,pronoun;`zwischen` takes dative for location.
GD230;G021;transformation;mitbringen;Er bringt den Kuchen mit.;Word order;word_order;;3sg;present;3;separable-verb,mitbringen;
GD231;G021;transformation;auswählen;Welches Kleid wählst du aus?;Question word order;word_order;;2sg;present;3;separable-verb,auswählen,question;
GD232;G021;transformation;herstellen;Die Firma stellt Möbel her.;Word order;word_order;;3sg;present;3;separable-verb,herstellen;
GD233;G021;transformation;anbieten;Was bietest du mir an?;Question word order;word_order;;2sg;present;3;separable-verb,anbieten,question;
GD234;G021;transformation;teilnehmen;Nehmen Sie am Kurs teil?;Question word order;word_order;;3pl;present;4;separable-verb,teilnehmen,question;
GD235;G021;transformation;sich vorstellen;Ich stelle mich kurz vor.;Reflexive use;word_order;acc;1sg;present;3;separable-verb,vorstellen,reflexive;
GD236;G023;word_order;Sie ist glücklich. Sie hat die Prüfung bestanden.;Sie ist glücklich, weil sie die Prüfung bestanden hat.;Sentence combination;word_order;;;perfekt;4;conjunction,weil;`hat` is kicked to the end.
GD237;G023;word_order;Er kommt nicht. Er ist krank.;Er kommt nicht, weil er krank ist.;Sentence combination;word_order;;;present;4;conjunction,weil;
GD238;G023;word_order;Ich weiß. Du hast Recht.;Ich weiß, dass du Recht hast.;Sentence combination;word_order;;;present;4;conjunction,dass;
GD239;G023;word_order;Ich frage ihn. Er kommt mit.;Ich frage ihn, ob er mitkommt.;Sentence combination;word_order;;;present;4;conjunction,ob;Separable verb rejoins at the end.
GD240;G023;word_order;Wir warten. Das Wetter wird besser.;Wir warten, bis das Wetter besser wird.;Sentence combination;word_order;;;future;4;conjunction,bis;`wird` is kicked to the end.
GD241;G024;declension;unser Haus (Dat);unserem Haus;Vor unserem Haus ist ein Garten.;In front of our house is a garden.;Ending (-em);declension;dat;3sg;present;4;possessive,neuter,dative;
GD242;G024;declension;eure Ideen (Acc);eure Ideen;Ich finde eure Ideen super.;I find your (plural) ideas great.;Ending (-e);declension;acc;1sg;present;3;possessive,plural,accusative;
GD243;G024;declension;ihr Mann (Dat);ihrem Mann;Sie gibt ihrem Mann einen Kuss.;She gives her husband a kiss.;Ending (-em);declension;dat;3sg;present;4;possessive,masculine,dative;
GD244;G024;declension;Ihr Name (Acc);Ihren Namen;Ich habe Ihren Namen vergessen.;I forgot your (formal) name.;Ending (-en);declension;acc;1sg;perfekt;4;possessive,masculine,accusative,formal;
GD245;G026;transformation;Ich laufe schnell. Du läufst schnell.;Ich laufe so schnell wie du.;Comparison of equals;comparison;;;present;3;comparative,wie;`so ... wie` is used for 'as ... as'.
GD246;G026;transformation;alt -> älter;älter als;Mein Auto ist älter als dein Auto.;My car is older than your car.;Comparative with 'als';comparison;;;present;3;comparative,umlaut;
GD247;G026;transformation;jung -> jünger;jünger als;Sie ist jünger als ihr Bruder.;She is younger than her brother.;Comparative with 'als';comparison;;;present;3;comparative,umlaut;
GD248;G026;transformation;groß -> größer;größer als;Ein Elefant ist größer als eine Maus.;An elephant is bigger than a mouse.;Comparative with 'als';comparison;;;present;3;comparative,umlaut;
GD249;G026;transformation;teuer -> teurer;teurer als;Gold ist teurer als Silber.;Gold is more expensive than silver.;Comparative with 'als';comparison;;;present;3;comparative,spelling;
GD250;G026;transformation;hoch -> höher;höher als;Der Mount Everest ist höher als der Mont Blanc.;Mount Everest is higher than Mont Blanc.;Comparative with 'als';comparison;;;present;4;comparative,irregular;
GD251;reflexive_verb;sich waschen (ich);ich wasche mich;Ich wasche mich jeden Morgen.;I wash myself every morning.;Reflexive Pronoun;reflexive;acc;1sg;present;3;reflexive,accusative;
GD252;reflexive_verb;sich waschen (du);du wäschst dich;Wäschst du dich?;Are you washing yourself?;Reflexive Pronoun;reflexive;acc;2sg;present;4;reflexive,accusative,irregular;
GD253;reflexive_verb;sich waschen (er);er wäscht sich;Er wäscht sich die Hände.;He is washing his hands.;Reflexive Pronoun;reflexive;dat;3sg;present;4;reflexive,dative;When a body part is mentioned (direct object), the reflexive pronoun becomes dative.
GD254;reflexive_verb;sich anziehen (wir);wir ziehen uns an;Wir ziehen uns warm an.;We are dressing warmly.;Reflexive Pronoun;reflexive;acc;1pl;present;3;reflexive,accusative,separable-verb;
GD255;reflexive_verb;sich kämmen (ihr);ihr kämmt euch;Ihr kämmt euch die Haare.;You all are combing your hair.;Reflexive Pronoun;reflexive;dat;2pl;present;4;reflexive,dative;
GD256;reflexive_verb;sich fühlen (Sie);fühlen Sie sich;Wie fühlen Sie sich heute?;How do you feel today?;Reflexive Pronoun;reflexive;acc;3pl;present;3;reflexive,accusative,question;
GD257;reflexive_verb;sich setzen (ich);ich setze mich;Ich setze mich auf den Stuhl.;I am sitting down on the chair.;Reflexive Pronoun;reflexive;acc;1sg;present;3;reflexive,accusative;
GD258;reflexive_verb;sich interessieren für;ich interessiere mich für;Ich interessiere mich für Kunst.;I am interested in art.;Reflexive with Preposition;reflexive;acc;1sg;present;4;reflexive,preposition;
GD259;reflexive_verb;sich freuen auf;er freut sich auf;Er freut sich auf den Urlaub.;He is looking forward to the vacation.;Reflexive with Preposition;reflexive;acc;3sg;present;4;reflexive,preposition;
GD260;G009;conjugation;ich helfe;er hilft;Er hilft seiner Nachbarin.;He helps his neighbor.;e -> i;conjugation;;3sg;present;3;verb,irregular,dative;
GD261;G009;conjugation;du isst;wir essen;Wir essen um 19 Uhr.;We eat at 7 PM.;i -> e;conjugation;;1pl;present;3;verb,irregular;
GD262;G009;conjugation;er schläft;schläfst du;Schläfst du schon?;Are you sleeping already?;ä -> ä (no change);conjugation;;2sg;present;3;verb,irregular,question;
GD263;G009;conjugation;ich laufe;er läuft;Er läuft sehr schnell.;He runs very fast.;au -> äu;conjugation;;3sg;present;3;verb,irregular;
GD264;G011;transformation;singen -> gesungen;sie hat gesungen;Sie hat auf der Bühne gesungen.;She sang on the stage.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,haben,irregular;
GD265;G011;transformation;tragen -> getragen;ich habe getragen;Ich habe den Koffer getragen.;I carried the suitcase.;Participle Formation (Irregular);tense_change;;1sg;perfekt;4;perfekt,haben,irregular;
GD266;G011;transformation;treffen -> getroffen;hast du getroffen;Wen hast du gestern getroffen?;Whom did you meet yesterday?;Participle Formation (Irregular);tense_change;;2sg;perfekt;4;perfekt,haben,irregular;
GD267;G012;transformation;sterben -> gestorben;er ist gestorben;Sein Großvater ist letztes Jahr gestorben.;His grandfather died last year.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,sein,irregular;
GD268;G012;transformation;umziehen -> umgezogen;wir sind umgezogen;Wir sind nach Hamburg umgezogen.;We moved to Hamburg.;Participle Formation (Separable);tense_change;;1pl;perfekt;4;perfekt,sein,separable-verb;
GD269;G012;transformation;wachsen -> gewachsen;das Kind ist gewachsen;Das Kind ist schnell gewachsen.;The child grew quickly.;Participle Formation (Irregular);tense_change;;3sg;perfekt;4;perfekt,sein,irregular;
GD270;G016;declension;ein Kollege;einem Kollegen;Ich arbeite mit einem netten Kollegen.;I work with a nice colleague.;n-declension;declension;dat;1sg;present;5;dative,n-declension;
GD271;G016;declension;der Name;dem Namen;Was ist der Unterschied zwischen dem Namen und dem Wort?;What's the difference between the name and the word?;n-declension;declension;dat;3sg;present;5;dative,n-declension;
GD272;G016;declension;der Kunde;dem Kunden;Der Verkäufer hilft dem Kunden.;The salesperson helps the customer.;n-declension;declension;dat;3sg;present;5;dative,n-declension;
GD273;G006;declension;der Junge;den Jungen;Ich sehe den Jungen auf der Straße.;I see the boy on the street.;n-declension;declension;acc;1sg;present;5;accusative,n-declension;
GD274;G006;declension;der Herr;den Herrn;Kennen Sie den Herrn dort?;Do you know the gentleman over there?;n-declension;declension;acc;2sg;present;5;accusative,n-declension;
GD275;G022;word_order;Ich mag Tee. Ich mag keinen Kaffee.;Ich mag Tee, aber keinen Kaffee.;Sentence combination;word_order;;;present;2;conjunction,aber;
GD276;G022;word_order;Wir gehen spazieren oder wir bleiben zu Hause.;Wir gehen spazieren oder wir bleiben zu Hause.;Sentence choice;word_order;;;present;2;conjunction,oder;
GD277;G022;word_order;Er ist nicht dumm, er ist faul.;Er ist nicht dumm, sondern faul.;Correction;word_order;;;present;4;conjunction,sondern;`sondern` corrects a previous negative statement.
GD278;G023;word_order;Ich bin sicher, er kommt.;Ich bin sicher, dass er kommt.;Sentence combination;word_order;;;present;4;conjunction,dass;
GD279;G023;word_order;Sag mir, wann du Zeit hast.;Sag mir, wann du Zeit hast.;Indirect Question;word_order;;;present;4;conjunction,wann;W-word as a subordinator kicks the verb to the end.
GD280;G023;word_order;Wenn ich Zeit habe, rufe ich dich an.;Wenn ich Zeit habe, rufe ich dich an.;Conditional Clause;word_order;;;present;4;conjunction,wenn;Verb in main clause `rufe` is in pos 2 (after the dependent clause).
GD281;G025;declension;Guter Wein ist teuer.;Guter Wein ist teuer.;Strong declension ending (-er);declension;nom;3sg;present;5;adjective-declension,strong;No article, masculine nominative -> -er ending.
GD282;G025;declension;Ich trinke gern kalte Milch.;Ich trinke gern kalte Milch.;Strong declension ending (-e);declension;acc;1sg;present;5;adjective-declension,strong;No article, feminine accusative -> -e ending.
GD283;G025;declension;mit frisch**em** Brot;mit frischem Brot;Strong declension ending (-em);declension;dat;1sg;present;5;adjective-declension,strong;No article, neuter dative -> -em ending.
GD284;G025;declension;ein schnell**es** Auto;ein schnelles Auto;Mixed declension ending (-es);declension;nom;3sg;present;5;adjective-declension,mixed;After `ein`, neuter nominative -> -es ending.
GD285;G025;declension;ein**en** groß**en** Hund;einen großen Hund;Mixed declension ending (-en);declension;acc;1sg;present;5;adjective-declension,mixed;After `einen`, masculine accusative -> -en ending.
GD286;G026;transformation;viel -> mehr;mehr als;Sie hat mehr Geld als ich.;She has more money than me.;Comparative with 'als';comparison;;;present;3;comparative,irregular;
GD287;G026;transformation;dunkel -> dunkler;dunkler;Es wird schon dunkler.;It's already getting darker.;Comparative;comparison;;;present;3;comparative,spelling;
GD288;G019;sentence_structure;Ich fahre über die Brücke.;Fahr nicht über die Brücke!;Command formation;mood_change;acc;2sg;imperative;4;two-way-preposition,direction,imperative;
GD289;G019;sentence_structure;Wir sitzen unter dem Baum.;Setzen wir uns unter den Baum!;Suggestion;mood_change;acc;1pl;present;4;two-way-preposition,direction;
GD290;G010;sentence_structure;Ich will nicht aufstehen.;Ich will nicht aufstehen.;Modal + Separable Verb (negated);word_order;;1sg;present;4;modal,separable-verb,negation;
GD291;G010;sentence_structure;Du sollst das Fenster zumachen.;Soll ich das Fenster zumachen?;Modal + Separable Verb -> Question;word_order;;1sg;present;4;modal,separable-verb,question;
GD292;G004;pronoun_case;Er/Ihn/Ihm sehe ich.;Ich sehe ihn.;Subject/Object choice;declension;acc;1sg;present;4;pronoun-case,accusative;`wen sehe ich?` -> `ihn` (accusative).
GD293;G004;pronoun_case;Er/Ihn/Ihm gibt mir das Buch.;Er gibt mir das Buch.;Subject/Object choice;declension;nom;3sg;present;4;pronoun-case,nominative;`wer gibt?` -> `er` (nominative).
GD294;G016;pronoun_case;Ich helfe er/ihn/ihm.;Ich helfe ihm.;Dative verb object;declension;dat;1sg;present;4;pronoun-case,dative;`helfen` takes a dative object.
GD295;G017;pronoun_case;Das ist von sie/ihr.;Das ist von ihr.;Dative preposition object;declension;dat;3sg;present;4;pronoun-case,dative;`von` is a dative preposition.
GD296;G018;pronoun_case;Ohne er/ihn/ihm gehe ich nicht.;Ohne ihn gehe ich nicht.;Accusative preposition object;declension;acc;1sg;present;4;pronoun-case,accusative;`ohne` is an accusative preposition.
GD297;G011;transformation;anrufen -> angerufen;ich habe angerufen;Ich habe dich gestern angerufen.;I called you yesterday.;Participle Formation (Separable);tense_change;;1sg;perfekt;4;perfekt,haben,separable-verb;
GD298;G011;transformation;einkaufen -> eingekauft;hast du eingekauft;Hast du schon eingekauft?;Have you already shopped?;Participle Formation (Separable);tense_change;;2sg;perfekt;4;perfekt,haben,separable-verb;
GD299;G011;transformation;mitbringen -> mitgebracht;er hat mitgebracht;Er hat einen Kuchen mitgebracht.;He brought a cake along.;Participle Formation (Separable);tense_change;;3sg;perfekt;4;perfekt,haben,separable-verb;
GD300;G012;transformation;abfahren -> abgefahren;der Zug ist abgefahren;Der Zug ist schon abgefahren.;The train has already departed.;Participle Formation (Separable);tense_change;;3sg;perfekt;4;perfekt,sein,separable-verb;
GD301;G010;transformation;Ich kann Deutsch sprechen.;Ich habe Deutsch sprechen können.;Present -> Perfekt (Modal);tense_change;;1sg;perfekt;5;perfekt,modal,haben;Double infinitive rule with `haben`.
GD302;G010;transformation;Er muss arbeiten.;Er hat arbeiten müssen.;Present -> Perfekt (Modal);tense_change;;3sg;perfekt;5;perfekt,modal,haben;Double infinitive rule with `haben`.
GD303;G010;transformation;Wir wollen den Film sehen.;Wir haben den Film sehen wollen.;Present -> Perfekt (Modal);tense_change;acc;1pl;perfekt;5;perfekt,modal,haben;
GD304;G010;transformation;Sie darf nicht ausgehen.;Sie hat nicht ausgehen dürfen.;Present -> Perfekt (Modal);tense_change;;3sg;perfekt;5;perfekt,modal,haben,negation;
GD305;G012;transformation;Ich fahre nach Italien.;Ich bin nach Italien gefahren.;Present -> Perfekt;tense_change;;1sg;perfekt;4;perfekt,sein,irregular;
GD306;G012;transformation;Er reist viel.;Er ist viel gereist.;Present -> Perfekt;tense_change;;3sg;perfekt;4;perfekt,sein,regular;
GD307;G012;transformation;Wir steigen in den Bus ein.;Wir sind in den Bus eingestiegen.;Present -> Perfekt;tense_change;acc;1pl;perfekt;4;perfekt,sein,separable-verb;
GD308;G023;word_order;Ich komme nicht, weil ich arbeiten muss.;Ich komme nicht, weil ich arbeiten muss.;Modal in subordinate clause;word_order;;1sg;present;5;conjunction,weil,modal;The modal `muss` is conjugated and kicked to the end.
GD309;G023;word_order;Er weiß, dass er warten soll.;Er weiß, dass er warten soll.;Modal in subordinate clause;word_order;;3sg;present;5;conjunction,dass,modal;The modal `soll` is conjugated and kicked to the end.
GD310;G023;word_order;Ich frage, ob wir gehen können.;Ich frage, ob wir gehen können.;Modal in subordinate clause;word_order;;1pl;present;5;conjunction,ob,modal;
GD311;G023;word_order;Wenn du mitkommen willst, musst du dich beeilen.;Wenn du mitkommen willst, musst du dich beeilen.;Modal in subordinate & main clause;word_order;;2sg;present;5;conjunction,wenn,modal;
GD312;G023;word_order;Ich habe gelernt, weil ich die Prüfung bestehen wollte.;Ich habe gelernt, weil ich die Prüfung bestehen wollte.;Perfekt + Modal Subordinate;word_order;;1sg;präteritum;5;conjunction,weil,modal,perfekt;Präteritum of modal `wollte` is common in this structure.
GD313;G022;word_order;Ich bin müde, aber ich muss noch arbeiten.;Ich bin müde, aber ich muss noch arbeiten.;Coordinating Conjunction;word_order;;1sg;present;3;conjunction,aber,modal;`aber` is pos 0, so `ich` is pos 1, `muss` is pos 2.
GD314;G016;declension;ich;mir;Gefällt es dir hier?;Yes, it pleases me here.;Pronoun declension;declension;dat;1sg;present;4;dative,pronoun-case;`gefallen` takes a dative object.
GD315;G016;declension;du;dir;Ich danke dir für alles.;I thank you for everything.;Pronoun declension;declension;dat;1sg;present;4;dative,pronoun-case;`danken` takes a dative object.
GD316;G016;declension;er;ihm;Die Hose passt ihm nicht.;The pants don't fit him.;Pronoun declension;declension;dat;3sg;present;4;dative,pronoun-case;`passen` takes a dative object.
GD317;G016;declension;sie;ihr;Der Arzt hilft ihr.;The doctor is helping her.;Pronoun declension;declension;dat;3sg;present;4;dative,pronoun-case;`helfen` takes a dative object.
GD318;G006;declension;wir;uns;Er hat uns nicht gesehen.;He didn't see us.;Pronoun declension;declension;acc;3sg;perfekt;3;accusative,pronoun-case;
GD319;G006;declension;ihr;euch;Ich rufe euch später an.;I will call you all later.;Pronoun declension;declension;acc;1sg;present;3;accusative,pronoun-case;
GD320;G006;declension;Sie;Sie;Ich verstehe Sie nicht.;I don't understand you (formal).;Pronoun declension;declension;acc;1sg;present;2;accusative,pronoun-case,formal;
GD321;G019;sentence_structure;Wir sitzen am Tisch.;Setzen wir uns an den Tisch!;Suggestion/Command;mood_change;acc;1pl;present;4;two-way-preposition,direction;
GD322;G019;sentence_structure;Die Kinder spielen hinter dem Haus.;Spielt hinter dem Haus!;Command formation;mood_change;dat;2pl;imperative;4;two-way-preposition,location,imperative;
GD323;G020;transformation;Du entschuldigst dich.;Entschuldige dich!;Reflexive command;mood_change;acc;2sg;imperative;4;reflexive,imperative;
GD324;G020;transformation;Ihr freut euch.;Freut euch!;Reflexive command;mood_change;acc;2pl;imperative;4;reflexive,imperative;
GD325;G020;transformation;Sie bereiten sich vor.;Bereiten Sie sich vor!;Reflexive command;mood_change;acc;3pl;imperative;4;reflexive,separable-verb,imperative;
GD326;G025;declension;mein bester Freund;meinem besten Freund;Ich gehe mit meinem besten Freund spazieren.;I'm going for a walk with my best friend.;Ending (-em, -en);declension;dat;1sg;present;5;adjective-declension,mixed,dative;
GD327;G025;declension;ein gutes Buch;ein gutes Buch;Das ist ein gutes Buch.;That is a good book.;Ending (-es);declension;nom;3sg;present;5;adjective-declension,mixed,neuter;
GD328;G025;declension;keine gute Idee;keine gute Idee;Ich finde das keine gute Idee.;I don't think that's a good idea.;Ending (-e);declension;acc;1sg;present;5;adjective-declension,mixed,feminine;
GD329;G025;declension;kalter Kaffee;kalten Kaffee;Ich mag keinen kalten Kaffee.;I don't like cold coffee.;Ending (-en);declension;acc;1sg;present;5;adjective-declension,strong,masculine;
GD330;G025;declension;mit frischer Milch;mit frischer Milch;Kaffee mit frischer Milch schmeckt am besten.;Coffee with fresh milk tastes best.;Ending (-er);declension;dat;3sg;present;5;adjective-declension,strong,feminine;
GD331;G009;conjugation;du wäschst;er wäscht;Er wäscht sein Auto.;He is washing his car.;a -> ä;conjugation;;3sg;present;3;verb,irregular,vowel-change;
GD332;G009;conjugation;er trägt;trägst du;Was trägst du heute?;What are you wearing today?;ä -> ä;conjugation;;2sg;present;3;verb,irregular,vowel-change,question;
GD333;G009;conjugation;ich laufe;du läufst;Warum läufst du so schnell?;Why are you running so fast?;au -> äu;conjugation;;2sg;present;3;verb,irregular,vowel-change;
