german,english,pronunciation,type,tags,frequency,example,example_translation
aus,from/out of,[aʊs],preposition,dative|essential,9,Er kommt aus der Türkei.,He comes from Turkey.
bei,at/near/with,[baɪ],preposition,dative|essential,8,Sie wohnt bei ihren Eltern.,She lives with her parents.
durch,through,[dʊʁç],preposition,accusative|essential,7,Wir fahren durch den Tunnel.,We are driving through the tunnel.
gegen,against/around (time),[ˈɡeːɡn̩],preposition,accusative|essential,6,Ich bin gegen diesen Vorschlag.,I am against this proposal.
ohne,without,[ˈoːnə],preposition,accusative|essential,8,Ich trinke Kaffee ohne Zucker.,I drink coffee without sugar.
um,around/at (time),[ʊm],preposition,accusative|essential,8,Der Film beginnt um 20 Uhr.,The movie begins at 8 PM.
seit,since/for (time),[zaɪt],preposition,dative|essential,7,Ich lerne seit einem Jahr Deutsch.,I have been learning German for a year.
ab,from (time/place),[ap],preposition,dative|essential,6,Ab morgen habe ich Urlaub.,From tomorrow on, I have vacation.
bis,until/to,[bɪs],preposition,accusative|essential,7,Ich arbeite bis 17 Uhr.,I work until 5 PM.
entlang,along,[ɛntˈlaŋ],preposition,accusative|basic,4,Wir gehen den Fluss entlang.,We are walking along the river.
gegenüber,opposite,[ɡeːɡn̩ˈʔyːbɐ],preposition,dative|basic,6,Die Bank ist gegenüber vom Bahnhof.,The bank is opposite the train station.
außer,except for/besides,[ˈaʊsɐ],preposition,dative|basic,5,Außer dir war niemand da.,No one was there except for you.
vor,in front of/before/ago,[foːɐ̯],preposition,two-way|essential,8,Das Auto parkt vor dem Haus.,The car is parking in front of the house.
hinter,behind,[ˈhɪntɐ],preposition,two-way|essential,7,Der Garten ist hinter dem Haus.,The garden is behind the house.
über,over/above/about,[ˈyːbɐ],preposition,two-way|essential,8,Das Flugzeug fliegt über die Stadt.,The airplane is flying over the city.
unter,under/below/among,[ˈʊntɐ],preposition,two-way|essential,7,Die Katze sitzt unter dem Tisch.,The cat is sitting under the table.
neben,next to/beside,[ˈneːbn̩],preposition,two-way|essential,8,Die Apotheke ist neben der Post.,The pharmacy is next to the post office.
zwischen,between,[ˈtsvɪʃn̩],preposition,two-way|essential,7,Ich sitze zwischen meinen Freunden.,I am sitting between my friends.
ja,yes,[jaː],particle,response|essential,9,Ja, das stimmt.,Yes, that's right.
nein,no,[naɪn],particle,response|essential,9,Nein, das möchte ich nicht.,No, I don't want that.
doch,yes (contradicting a negative),[dɔx],particle,response|essential,8,Du kommst nicht mit? Doch!,You're not coming? Yes, I am!
bitte,please/you're welcome,[ˈbɪtə],particle,politeness|essential,9,Kannst du mir helfen, bitte?,Can you help me, please?
danke,thanks,[ˈdaŋkə],particle,politeness|essential,9,Danke schön!,Thank you very much!
hallo,hello,[haˈloː],interjection,greeting|essential,9,Hallo, wie geht's?,Hello, how's it going?
tschüss,bye (informal),[tʃyːs],interjection,farewell|essential,9,Tschüss, bis morgen!,Bye, see you tomorrow!
Auf Wiedersehen,goodbye (formal),[aʊf ˈviːdɐˌzeːən],phrase,farewell|essential,9,Auf Wiedersehen, Herr Schmidt.,Goodbye, Mr. Schmidt.
Guten Morgen,Good morning,[ˌɡuːtn̩ ˈmɔʁɡn̩],phrase,greeting|essential,9,Guten Morgen, wie haben Sie geschlafen?,Good morning, how did you sleep?
Guten Tag,Good day/hello,[ˌɡuːtn̩ ˈtaːk],phrase,greeting|essential,9,Guten Tag, was wünschen Sie?,Hello, what would you like?
Guten Abend,Good evening,[ˌɡuːtn̩ ˈaːbn̩t],phrase,greeting|essential,9,Guten Abend, meine Damen und Herren.,Good evening, ladies and gentlemen.
Gute Nacht,Good night,[ˌɡuːtə ˈnaxt],phrase,farewell|essential,9,Gute Nacht, schlaf gut.,Good night, sleep well.
Entschuldigung,excuse me/pardon,[ɛntˈʃʊldɪɡʊŋ],phrase,politeness|essential,9,Entschuldigung, wo ist der Bahnhof?,Excuse me, where is the train station?
natürlich,of course/naturally,[naˈtyːɐ̯lɪç],adverb,modal|essential,8,Kommst du mit? Natürlich!,Are you coming? Of course!
genau,exactly,[ɡəˈnaʊ],adverb,response|essential,8,Genau, das ist es!,Exactly, that's it!
ungefähr,approximately,[ˈʊnɡəˌfɛːɐ̯],adverb,quantity|basic,6,Die Fahrt dauert ungefähr eine Stunde.,The journey takes approximately one hour.
sofort,immediately,[zoˈfɔʁt],adverb,time|essential,7,Ich komme sofort.,I'm coming immediately.
einmal,once,[ˈaɪnmaːl],adverb,frequency|essential,7,Ich war einmal in London.,I was in London once.
zweimal,twice,[ˈtsvaɪmaːl],adverb,frequency|basic,6,Ich gehe zweimal pro Woche zum Sport.,I go to sports twice a week.
endlich,finally,[ˈɛntlɪç],adverb,time|basic,6,Endlich ist Wochenende!,Finally, it's the weekend!
wiederholen,to repeat,[viːdɐˈhoːlən],verb,basic,7,Können Sie das bitte wiederholen?,Can you please repeat that?
buchstabieren,to spell,[buːxʃtaˈbiːʁən],verb,basic,7,Wie buchstabiert man das?,How do you spell that?
anprobieren,to try on,[ˈanpʁoˌbiːʁən],verb,separable|basic,6,Ich möchte dieses Hemd anprobieren.,I would like to try on this shirt.
aufräumen,to clean up/tidy up,[ˈaʊfˌʁɔʏmən],verb,separable|basic,7,Du musst dein Zimmer aufräumen.,You have to clean up your room.
abholen,to pick up,[ˈapˌhoːlən],verb,separable|essential,7,Kannst du mich vom Bahnhof abholen?,Can you pick me up from the train station?
zumachen,to close,[ˈtsuːˌmaxn̩],verb,separable|basic,6,Mach bitte die Tür zu.,Please close the door.
aufmachen,to open,[ˈaʊfˌmaxn̩],verb,separable|basic,6,Kannst du das Fenster aufmachen?,Can you open the window?
stattfinden,to take place,[ˈʃtatˌfɪndn̩],verb,separable|basic,6,Das Konzert findet heute Abend statt.,The concert takes place tonight.
teilnehmen,to participate,[ˈtaɪlˌneːmən],verb,separable|basic,5,Möchtest du am Wettbewerb teilnehmen?,Do you want to participate in the competition?
passend,suitable/matching,[ˈpasn̩t],adjective,basic,6,Ich suche eine passende Krawatte.,I'm looking for a matching tie.
bequem,comfortable,[bəˈkveːm],adjective,basic,7,Dieses Sofa ist sehr bequem.,This sofa is very comfortable.
fertig,finished/ready,[ˈfɛʁtɪç],adjective,essential|basic,8,Bist du fertig mit den Hausaufgaben?,Are you finished with the homework?
kaputt,broken,[kaˈpʊt],adjective,essential|basic,7,Mein Handy ist kaputt.,My phone is broken.
lustig,funny,[ˈlʊstɪç],adjective,basic,7,Der Film war sehr lustig.,The movie was very funny.
nett,nice/kind,[nɛt],adjective,essential|basic,8,Deine Nachbarn sind sehr nett.,Your neighbors are very nice.
stark,strong,[ʃtaʁk],adjective,basic,7,Er ist sehr stark.,He is very strong.
schwach,weak,[ʃvax],adjective,basic,6,Nach der Krankheit fühlte sie sich schwach.,After the illness, she felt weak.
zufrieden,satisfied/content,[tsuˈfʁiːdn̩],adjective,basic,7,Ich bin mit meiner Arbeit zufrieden.,I am satisfied with my work.
da,there/here/because,[daː],adverb,conjunction|essential,9,Ich bin schon da.,I'm already here.
deswegen,that's why/for that reason,[ˈdɛsveːɡn̩],adverb,conjunction|basic,6,Ich war krank, deswegen war ich nicht da.,I was sick, that's why I wasn't there.
überall,everywhere,[ˈyːbɐˌʔal],adverb,place|basic,6,Ich habe überall gesucht.,I have looked everywhere.
nirgends,nowhere,[ˈnɪʁɡn̩ts],adverb,place|basic,6,Ich kann meine Schlüssel nirgends finden.,I can't find my keys anywhere.
ziemlich,quite/rather,[ˈtsiːmlɪç],adverb,intensifier|basic,7,Das Wetter ist ziemlich gut.,The weather is quite good.
besonders,especially,[bəˈzɔndɐs],adverb,intensifier|basic,7,Mir gefällt besonders die Farbe.,I especially like the color.
man,one/you (general),[man],pronoun,impersonal|essential,8,Man darf hier nicht rauchen.,One is not allowed to smoke here.
jemand,someone/somebody,[ˈjeːmant],pronoun,indefinite|basic,7,Ist jemand zu Hause?,Is someone at home?
niemand,no one/nobody,[ˈniːmant],pronoun,indefinite|basic,7,Niemand hat geantwortet.,No one answered.
etwas,something/a little,[ˈɛtvas],pronoun,indefinite|essential,8,Möchtest du etwas trinken?,Would you like something to drink?
nichts,nothing,[nɪçts],pronoun,indefinite|essential,8,Ich habe nichts gesehen.,I saw nothing.
dieser,this,[ˈdiːzɐ],pronoun,demonstrative|essential,8,Dieser Apfel ist rot.,This apple is red.
jeder,every/each,[ˈjeːdɐ],pronoun,indefinite|essential,7,Jeder Student muss das Buch lesen.,Every student must read the book.
anbieten,to offer,[ˈanˌbiːtn̩],verb,verb|separable|irregular,6,Darf ich Ihnen einen Kaffee anbieten?,May I offer you a coffee?
ändern,to change,[ˈɛndɐn],verb,verb|basic,6,Ich möchte meine Adresse ändern.,I would like to change my address.
antworten,to answer,[ˈantvɔʁtn̩],verb,verb|essential|basic,8,Bitte antworten Sie auf meine Frage.,Please answer my question.
anziehen,to put on (clothes),[ˈanˌtsiːən],verb,verb|separable|reflexive,7,Ich ziehe meine Jacke an.,I'm putting on my jacket.
aussteigen,to get off/exit,[ˈaʊsˌʃtaɪɡn̩],verb,verb|separable|essential,7,Wir müssen an der nächsten Haltestelle aussteigen.,We have to get off at the next stop.
einsteigen,to get on/board,[ˈaɪnˌʃtaɪɡn̩],verb,verb|separable|essential,7,Bitte schnell einsteigen, der Zug fährt gleich ab.,Please board quickly, the train is leaving soon.
umsteigen,to change (trains, etc.),[ˈʊmˌʃtaɪɡn̩],verb,verb|separable|essential,7,In Mannheim müssen Sie umsteigen.,You have to change trains in Mannheim.
backen,to bake,[ˈbakn̩],verb,verb|basic,6,Am Wochenende backe ich einen Kuchen.,On the weekend, I'm baking a cake.
baden,to bathe,[ˈbaːdn̩],verb,verb|basic,6,Die Kinder baden gerne im Meer.,The children like to bathe in the sea.
bauen,to build,[ˈbaʊən],verb,verb|basic,6,Wir bauen ein Haus.,We are building a house.
bedeuten,to mean,[bəˈdɔʏtn̩],verb,verb|basic,6,Was bedeutet dieses Wort?,What does this word mean?
bekommen,to get/receive,[bəˈkɔmən],verb,verb|essential|basic|irregular,8,Ich habe ein Geschenk bekommen.,I received a present.
bestellen,to order,[bəˈʃtɛlən],verb,verb|essential|basic,8,Wir möchten jetzt bestellen.,We would like to order now.
besuchen,to visit,[bəˈzuːxən],verb,verb|essential|basic,7,Ich besuche meine Großeltern.,I am visiting my grandparents.
bitten,to ask for/request,[ˈbɪtn̩],verb,verb|basic|irregular,7,Ich bitte um Ihre Aufmerksamkeit.,I ask for your attention.
danken,to thank,[ˈdaŋkn̩],verb,verb|dative|basic,7,Ich danke Ihnen für die Hilfe.,I thank you for the help.
dauern,to last/take (time),[ˈdaʊɐn],verb,verb|essential|basic,7,Wie lange dauert der Flug?,How long does the flight take?
diskutieren,to discuss,[dɪskuˈtiːʁən],verb,verb|basic,5,Wir müssen dieses Problem diskutieren.,We need to discuss this problem.
drücken,to push/press,[ˈdʁʏkn̩],verb,verb|basic,6,Drücken Sie diesen Knopf.,Press this button.
einfallen,to come to mind,[ˈaɪnˌfalən],verb,verb|separable|dative,5,Mir fällt sein Name nicht ein.,His name doesn't come to my mind.
entschuldigen,to excuse/apologize,[ɛntˈʃʊldɪɡn̩],verb,verb|reflexive|essential,8,Entschuldigen Sie die Störung.,Pardon the interruption.
erinnern,to remember/remind,[ɛɐ̯ˈʔɪnɐn],verb,verb|reflexive|basic,6,Ich kann mich nicht erinnern.,I can't remember.
erkennen,to recognize,[ɛɐ̯ˈkɛnən],verb,verb|irregular|basic,5,Ich habe dich sofort erkannt.,I recognized you immediately.
erlauben,to allow/permit,[ɛɐ̯ˈlaʊbn̩],verb,verb|basic,6,Rauchen ist hier nicht erlaubt.,Smoking is not allowed here.
erreichen,to reach/achieve,[ɛɐ̯ˈʁaɪçn̩],verb,verb|basic,6,Wann erreichen wir München?,When do we reach Munich?
fehlen,to be missing/absent,[ˈfeːlən],verb,verb|dative|basic,6,Du fehlst mir.,I miss you.
feiern,to celebrate,[ˈfaɪɐn],verb,verb|basic,7,Wir feiern heute meinen Geburtstag.,We are celebrating my birthday today.
fotografieren,to photograph,[fotogʁaˈfiːʁən],verb,verb|basic,7,Darf man hier fotografieren?,Is one allowed to take pictures here?
freuen,to be happy/look forward to,[ˈfʁɔʏən],verb,verb|reflexive|basic,7,Ich freue mich auf den Urlaub.,I'm looking forward to the vacation.
fühlen,to feel,[ˈfyːlən],verb,verb|reflexive|basic,7,Wie fühlen Sie sich?,How are you feeling?
funktionieren,to function/work,[fʊŋktsioˈniːʁən],verb,verb|basic,7,Mein neuer Drucker funktioniert super.,My new printer works great.
gewinnen,to win,[ɡəˈvɪnən],verb,verb|irregular|basic,6,Wer hat das Spiel gewonnen?,Who won the game?
gratulieren,to congratulate,[ɡʁatuˈliːʁən],verb,verb|dative|basic,7,Ich gratuliere dir zum Geburtstag.,I congratulate you on your birthday.
heiraten,to marry,[ˈhaɪʁaːtn̩],verb,verb|basic,7,Sie heiraten nächsten Monat.,They are getting married next month.
interessieren,to interest,[ɪntəʁɛˈsiːʁən],verb,verb|reflexive|basic,7,Ich interessiere mich für Kunst.,I am interested in art.
kochen,to cook,[ˈkɔxn̩],verb,verb|essential|basic,8,Er kocht gerne für seine Freunde.,He likes to cook for his friends.
kontrollieren,to check/control,[kɔntʁɔˈliːʁən],verb,verb|basic,6,Bitte kontrollieren Sie Ihr Ticket.,Please check your ticket.
kopieren,to copy,[koˈpiːʁən],verb,verb|basic,6,Kannst du mir die Datei kopieren?,Can you copy the file for me?
lachen,to laugh,[ˈlaxn̩],verb,verb|basic,7,Warum lachst du?,Why are you laughing?
laufen,to run/walk,[ˈlaʊfn̩],verb,verb|irregular|essential,7,Ich laufe jeden Morgen im Park.,I run in the park every morning.
leben,to live,[ˈleːbn̩],verb,verb|essential|basic,8,Meine Großeltern leben nicht mehr.,My grandparents are no longer living.
legen,to lay/put down (horizontally),[ˈleːɡn̩],verb,verb|basic,7,Ich lege das Buch auf den Tisch.,I lay the book on the table.
leihen,to lend/borrow,[ˈlaɪən],verb,verb|irregular|basic,6,Kannst du mir einen Stift leihen?,Can you lend me a pen?
malen,to paint,[ˈmaːlən],verb,verb|basic,6,Die Kinder malen bunte Bilder.,The children are painting colorful pictures.
mieten,to rent,[ˈmiːtn̩],verb,verb|basic,7,Wir wollen ein Auto mieten.,We want to rent a car.
mitnehmen,to take with,[ˈmɪtˌneːmən],verb,verb|separable|irregular,7,Nimm einen Regenschirm mit!,Take an umbrella with you!
organisieren,to organize,[ɔʁɡaniˈziːʁən],verb,verb|basic,6,Wer organisiert die Party?,Who is organizing the party?
packen,to pack,[ˈpakn̩],verb,verb|basic,7,Ich muss meinen Koffer packen.,I have to pack my suitcase.
parken,to park,[ˈpaʁkn̩],verb,verb|basic,7,Hier können Sie nicht parken.,You cannot park here.
putzen,to clean,[ˈpʊtsn̩],verb,verb|basic,7,Ich putze jeden Samstag die Wohnung.,I clean the apartment every Saturday.
rauchen,to smoke,[ˈʁaʊxn̩],verb,verb|basic,6,Rauchen ist ungesund.,Smoking is unhealthy.
regnen,to rain,[ˈʁeːɡnən],verb,verb|impersonal|basic,7,Es regnet seit zwei Tagen.,It has been raining for two days.
reisen,to travel,[ˈʁaɪzn̩],verb,verb|basic,7,Ich reise gern in andere Länder.,I like to travel to other countries.
reparieren,to repair,[ʁepaˈʁiːʁən],verb,verb|basic,7,Er repariert sein Fahrrad.,He is repairing his bicycle.
rufen,to call/shout,[ˈʁuːfn̩],verb,verb|irregular|basic,6,Ruf mich an, wenn du ankommst.,Call me when you arrive.
schaffen,to manage/achieve,[ˈʃafn̩],verb,verb|basic,6,Wir schaffen das zusammen.,We can manage that together.
scheinen,to shine/seem,[ˈʃaɪnən],verb,verb|irregular|basic,7,Die Sonne scheint.,The sun is shining.
schenken,to give (a gift),[ˈʃɛŋkn̩],verb,verb|dative|basic,7,Was schenkst du ihm?,What are you giving him as a gift?
schicken,to send,[ˈʃɪkn̩],verb,verb|basic,7,Ich schicke dir eine Postkarte.,I'll send you a postcard.
schlafen,to sleep,[ˈʃlaːfn̩],verb,verb|irregular|essential,8,Ich schlafe normalerweise acht Stunden.,I normally sleep for eight hours.
schmecken,to taste,[ˈʃmɛkn̩],verb,verb|dative|basic,7,Wie schmeckt Ihnen die Suppe?,How do you like the soup? (How does it taste to you?)
schneiden,to cut,[ˈʃnaɪdn̩],verb,verb|irregular|basic,6,Vorsicht, das Messer schneidet gut.,Be careful, the knife cuts well.
schneien,to snow,[ˈʃnaɪən],verb,verb|impersonal|basic,6,Im Winter schneit es oft.,In winter it often snows.
schwanger,pregnant,[ˈʃvaŋɐ],adjective,adjective|basic,6,Meine Schwester ist schwanger.,My sister is pregnant.
still,still/quiet,[ʃtɪl],adjective,adjective|basic,6,Sei bitte still!,Please be quiet!
stolz,proud,[ʃtɔlts],adjective,adjective|basic,6,Ich bin stolz auf dich.,I am proud of you.
sympathisch,likeable/pleasant,[zʏmˈpaːtɪʃ],adjective,adjective|basic,7,Dein neuer Freund ist sehr sympathisch.,Your new friend is very likeable.
toll,great/fantastic,[tɔl],adjective,adjective|basic,7,Das war ein toller Abend!,That was a great evening!
vorsichtig,careful,[ˈfoːɐ̯zɪçtɪç],adjective,adjective|basic,7,Fahr vorsichtig!,Drive carefully!
wahr,true,[vaːɐ̯],adjective,adjective|basic,6,Ist das wirklich wahr?,Is that really true?
wütend,furious/angry,[ˈvyːtn̩t],adjective,adjective|basic,6,Er war wütend auf mich.,He was furious with me.
besser,better,[ˈbɛsɐ],adjective,adjective|comparative|essential,9,Mir geht es heute besser.,I am feeling better today.
am besten,best,[am ˈbɛstn̩],adjective,adjective|superlative|essential,9,Das ist die beste Lösung.,That is the best solution.
lieber,rather/preferably,[ˈliːbɐ],adverb,adverb|comparative|essential,8,Ich trinke lieber Tee als Kaffee.,I prefer to drink tea rather than coffee.
am liebsten,most of all/favorite,[am ˈliːpstn̩],adverb,adverb|superlative|essential,8,Am liebsten esse ich Pizza.,Most of all I like to eat pizza.
mehr,more,[meːɐ̯],adverb,adverb|comparative|essential,9,Ich brauche mehr Zeit.,I need more time.
am meisten,the most,[am ˈmaɪstn̩],adverb,adverb|superlative|essential,8,Was magst du am meisten?,What do you like the most?
weniger,less/fewer,[ˈveːnɪɡɐ],adverb,adverb|comparative|essential,7,Wir sollten weniger fernsehen.,We should watch less television.
am wenigsten,the least,[am ˈveːnɪçstn̩],adverb,adverb|superlative|essential,7,Das ist am wenigsten wichtig.,That is the least important.
größer,bigger/taller,[ˈɡʁøːsɐ],adjective,adjective|comparative|essential,8,Mein Bruder ist größer als ich.,My brother is taller than me.
am größten,biggest/tallest,[am ˈɡʁøːstn̩],adjective,adjective|superlative|essential,8,Das ist das größte Gebäude der Stadt.,That is the biggest building in the city.
älter,older,[ˈɛltɐ],adjective,adjective|comparative|essential,8,Sie ist zwei Jahre älter.,She is two years older.
am ältesten,oldest,[am ˈɛltəstn̩],adjective,adjective|superlative|essential,8,Wer ist am ältesten in deiner Familie?,Who is the oldest in your family?
draußen,outside,[ˈdʁaʊsn̩],adverb,adverb|place|essential,7,Die Kinder spielen draußen.,The children are playing outside.
drinnen,inside,[ˈdʁɪnən],adverb,adverb|place|basic,7,Es ist kalt, lass uns drinnen bleiben.,It's cold, let's stay inside.
irgendwo,somewhere,[ˈɪʁɡn̩tˌvoː],adverb,adverb|place|basic,6,Meine Tasche muss irgendwo hier sein.,My bag must be here somewhere.
nirgendwo,nowhere,[ˈnɪʁɡn̩tˌvoː],adverb,adverb|place|basic,6,Ich war nirgendwo.,I wasn't anywhere.
abends,in the evening,[ˈaːbn̩ts],adverb,adverb|time|essential,8,Abends lese ich gern.,In the evenings, I like to read.
morgens,in the morning,[ˈmɔʁɡn̩s],adverb,adverb|time|essential,8,Morgens trinke ich immer Kaffee.,In the mornings, I always drink coffee.
tagsüber,during the day,[ˈtaːksˌʔyːbɐ],adverb,adverb|time|basic,6,Tagsüber bin ich bei der Arbeit.,During the day I am at work.
nachts,at night,[naxts],adverb,adverb|time|basic,7,Nachts ist es hier sehr ruhig.,At night it's very quiet here.
früher,earlier/formerly,[ˈfʁyːɐ],adverb,adverb|time|comparative,7,Früher war hier ein Kino.,Formerly, there was a cinema here.
später,later,[ˈʃpɛːtɐ],adverb,adverb|time|comparative,8,Wir können das später besprechen.,We can discuss that later.
sofort,immediately,[zoˈfɔʁt],adverb,adverb|time|essential,7,Bitte kommen Sie sofort.,Please come immediately.
neulich,recently,[ˈnɔʏlɪç],adverb,adverb|time|basic,6,Ich habe ihn neulich getroffen.,I met him recently.
damals,back then/at that time,[ˈdaːmaːls],adverb,adverb|time|basic,6,Damals war alles anders.,Everything was different back then.
übermorgen,the day after tomorrow,[ˈyːbɐˌmɔʁɡn̩],adverb,adverb|time|basic,7,Übermorgen fliegen wir in den Urlaub.,The day after tomorrow we are flying on vacation.
vorgestern,the day before yesterday,[ˈfoːɐ̯ˌɡɛstɐn],adverb,adverb|time|basic,7,Vorgestern hatte ich Geburtstag.,The day before yesterday was my birthday.
bergauf,uphill,[bɛʁkˈʔaʊf],adverb,adverb|direction|basic,4,Wir müssen den ganzen Weg bergauf gehen.,We have to walk uphill the whole way.
bergab,downhill,[bɛʁkˈʔap],adverb,adverb|direction|basic,4,Mit dem Fahrrad ist es bergab einfacher.,With the bicycle, it's easier downhill.
sogar,even,[zoˈɡaːɐ̯],adverb,adverb|intensifier|basic,6,Er hat sogar das Geschirr gespült.,He even washed the dishes.
besonders,especially,[bəˈzɔndɐs],adverb,adverb|intensifier|basic,7,Das Konzert war besonders gut.,The concert was especially good.
eigentlich,actually,[ˈaɪɡn̩tlɪç],adverb,adverb|modal|basic,7,Eigentlich wollte ich ins Kino gehen.,Actually, I wanted to go to the cinema.
wahrscheinlich,probably,[vaːɐ̯ˈʃaɪnlɪç],adverb,adverb|modal|basic,6,Er kommt wahrscheinlich zu spät.,He is probably coming late.
sicherlich,certainly,[ˈzɪçɐlɪç],adverb,adverb|modal|basic,6,Das ist sicherlich die beste Option.,That is certainly the best option.
vielleicht,perhaps,[fiˈlaɪçt],adverb,adverb|modal|essential,8,Vielleicht regnet es morgen.,Perhaps it will rain tomorrow.
mal,once/just (informal),[maːl],particle,particle|conversational|essential,8,Kannst du mir mal helfen?,Can you just help me?
halt,just/simply (filler word),[halt],particle,particle|conversational|basic,6,Das ist halt so.,That's just the way it is.
eben,just/exactly,[ˈeːbn̩],particle,particle|conversational|basic,6,Das habe ich eben gesagt.,I just said that.
schon,already (also used for emphasis),[ʃoːn],particle,particle|conversational|essential,8,Das wird schon klappen.,It'll work out.
wohl,probably/well,[voːl],particle,particle|conversational|basic,6,Er ist wohl krank.,He is probably sick.
ach so,I see / oh, okay,[ax zoː],phrase,particle|conversational|essential,8,Ach so, das wusste ich nicht.,I see, I didn't know that.
genau,exactly,[ɡəˈnaʊ],particle,particle|conversational|essential,8,Genau! Das ist die richtige Antwort.,Exactly! That is the correct answer.
stimmt,that's right,[ʃtɪmt],phrase,particle|conversational|essential,8,Der Preis ist 10 Euro? Stimmt.,The price is 10 euros? That's right.
einverstanden,agreed,[ˈaɪnfɛɐ̯ˌʃtandn̩],adjective,adjective|response|basic,7,Sollen wir uns um 8 treffen? Einverstanden!,Shall we meet at 8? Agreed!
egal,it doesn't matter/whatever,[eˈɡaːl],adjective,adjective|response|basic,7,Tee oder Kaffee? Das ist mir egal.,Tea or coffee? I don't mind.
fertig,ready/finished,[ˈfɛʁtɪç],adjective,adjective|essential|basic,8,Das Essen ist fertig.,The food is ready.
verboten,forbidden,[fɛɐ̯ˈboːtn̩],adjective,adjective|basic,7,Parken ist hier verboten.,Parking is forbidden here.
erlaubt,allowed/permitted,[ɛɐ̯ˈlaʊpt],adjective,adjective|basic,7,Das ist hier nicht erlaubt.,That is not allowed here.
verheiratet,married,[fɛɐ̯ˈhaɪʁaːtət],adjective,adjective|essential|basic,8,Sind Sie verheiratet?,Are you married?
ledig,single,[ˈleːdɪç],adjective,adjective|essential|basic,8,Ich bin ledig.,I am single.
geschieden,divorced,[ɡəˈʃiːdn̩],adjective,adjective|basic,7,Meine Eltern sind geschieden.,My parents are divorced.
verwitwet,widowed,[fɛɐ̯ˈvɪtvət],adjective,adjective|basic,6,Frau Meier ist verwitwet.,Mrs. Meier is widowed.
eins,one,[aɪns],numeral,number|essential,9,Ich habe einen Bruder.,I have one brother.
zwei,two,[tsvaɪ],numeral,number|essential,9,Zwei Kaffee, bitte.,Two coffees, please.
drei,three,[dʁaɪ],numeral,number|essential,9,Wir haben drei Kinder.,We have three children.
vier,four,[fiːɐ̯],numeral,number|essential,9,Das Auto hat vier Räder.,The car has four wheels.
fünf,five,[fʏnf],numeral,number|essential,9,Es ist fünf Uhr.,It is five o'clock.
sechs,six,[zɛks],numeral,number|essential,9,Der Kurs dauert sechs Wochen.,The course lasts six weeks.
sieben,seven,[ˈziːbn̩],numeral,number|essential,9,Die Woche hat sieben Tage.,The week has seven days.
acht,eight,[axt],numeral,number|essential,9,Bitte um acht Uhr hier sein.,Please be here at eight o'clock.
neun,nine,[nɔʏn],numeral,number|essential,9,Ich habe neun Euro bezahlt.,I paid nine euros.
zehn,ten,[tseːn],numeral,number|essential,9,Zehn Minuten Pause.,A ten-minute break.
elf,eleven,[ɛlf],numeral,number|essential,9,Meine Tochter ist elf Jahre alt.,My daughter is eleven years old.
zwölf,twelve,[tsvœlf],numeral,number|essential,9,Es ist zwölf Uhr mittags.,It is twelve o'clock noon.
dreizehn,thirteen,[ˈdʁaɪˌtseːn],numeral,number|essential,8,Die Nummer dreizehn bringt Unglück.,The number thirteen brings bad luck.
vierzehn,fourteen,[ˈfɪʁˌtseːn],numeral,number|essential,8,Sie ist vierzehn.,She is fourteen.
fünfzehn,fifteen,[ˈfʏnfˌtseːn],numeral,number|essential,8,In fünfzehn Minuten geht es los.,We start in fifteen minutes.
sechzehn,sixteen,[ˈzɛçˌtseːn],numeral,number|essential,8,Mit sechzehn darf man Bier kaufen.,At sixteen, one is allowed to buy beer.
siebzehn,seventeen,[ˈziːpˌtseːn],numeral,number|essential,8,Der Flug geht um siebzehn Uhr.,The flight leaves at 5 PM.
achtzehn,eighteen,[ˈaxˌtseːn],numeral,number|essential,8,Endlich achtzehn!,Finally eighteen!
neunzehn,nineteen,[ˈnɔʏnˌtseːn],numeral,number|essential,8,Das Buch hat neunzehn Kapitel.,The book has nineteen chapters.
zwanzig,twenty,[ˈtsvantsɪç],numeral,number|essential,9,Das kostet zwanzig Euro.,That costs twenty euros.
einundzwanzig,twenty-one,[ˈaɪnʊntˌtsvantsɪç],numeral,number|essential,8,Der 21. Juli ist ein Feiertag.,July 21st is a holiday.
dreißig,thirty,[ˈdʁaɪsɪç],numeral,number|essential,8,Mein Bruder ist dreißig.,My brother is thirty.
vierzig,forty,[ˈfɪʁtsɪç],numeral,number|essential,8,Sie ist über vierzig.,She is over forty.
fünfzig,fifty,[ˈfʏnftsɪç],numeral,number|essential,8,Fünfzig Prozent Rabatt.,Fifty percent discount.
sechzig,sixty,[ˈzɛçtsɪç],numeral,number|essential,8,Mein Opa wird sechzig.,My grandpa is turning sixty.
siebzig,seventy,[ˈziːptsɪç],numeral,number|essential,8,Die Geschwindigkeitsbegrenzung ist siebzig.,The speed limit is seventy.
achtzig,eighty,[ˈaxtsɪç],numeral,number|essential,8,Sie hat achtzig Euro gewonnen.,She won eighty euros.
neunzig,ninety,[ˈnɔʏntsɪç],numeral,number|essential,8,Das dauert neunzig Minuten.,That takes ninety minutes.
hundert,one hundred,[ˈhʊndɐt],numeral,number|essential,9,Ich habe hundert E-Mails.,I have one hundred emails.
tausend,one thousand,[ˈtaʊzn̩t],numeral,number|basic,7,Das Stadion fasst zehntausend Menschen.,The stadium holds ten thousand people.
