id,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
264,Verbs,fill_in_blank,"Du ___ immer so laut.",lachst,lache,lacht,"lachen (to laugh)"
265,Articles,multiple_choice,"Ich sitze auf ___ Stuhl.",dem,den,der,"auf + Dativ (location)"
266,Haben/Sein,fill_in_blank,"Ihr ___ fertig.",seid,habt,sind,"sein (to be)"
267,Verbs,multiple_choice,"Er ___ das Fenster.",schließt,schließe,schließen,"schließen (to close)"
268,Cases,fill_in_blank,"Das Kind spielt mit ___ Ball.",dem,den,der,"mit + Dativ (A2)"
269,W-Fragen,fill_in_blank,"___ geht es Ihnen?",Wie,Was,Wer,"Asking 'how are you' (formal)"
270,Sentences,build_sentence,"fängt|der Film|an|bald",Der Film fängt bald an.,,,
271,Pronouns,multiple_choice,"Die Katze gehört ___.",ihr,sie,sich,"sie -> ihr (dative)"
272,Modal Verbs,fill_in_blank,"Wir ___ heute Abend tanzen gehen.",wollen,will,wollt,"wollen (to want to)"
273,Articles,fill_in_blank,"Sie kommt aus ___ USA (pl).",den,die,der,"aus + Dativ (plural country)"
274,Haben/Sein,multiple_choice,"Du ___ eine tolle Idee!",hast,bist,haben,"haben (to have)"
275,Verbs,fill_in_blank,"Ich ___ die Prüfung.",bestehe,bestehst,besteht,"bestehen (to pass an exam)"
276,Cases,multiple_choice,"Er fährt gegen ___ Baum.",den,dem,der,"gegen + Akkusativ"
277,W-Fragen,fill_in_blank,"___ oft gehst du ins Fitnessstudio?",Wie,Was,Wann,"Asking 'how often'"
278,Sentences,build_sentence,"hat|er|angerufen|dich|?",Hat er dich angerufen?,,,
279,Pronouns,multiple_choice,"Ich bin böse auf ___.",dich,dir,du,"böse sein auf + Akkusativ"
280,Verbs,multiple_choice,"Ihr ___ mir nicht zu.",hört,höre,hören,"zuhören (to listen to - separable)"
281,Articles,fill_in_blank,"Ich lege den Teppich auf ___ Boden.",den,dem,der,"auf + Akkusativ (destination)"
282,Haben/Sein,fill_in_blank,"Wir ___ im Stau.",sind,haben,seid,"im Stau sein (to be in a traffic jam)"
283,Verbs,fill_in_blank,"Sie (she) ___ ihr Fahrrad.",repariert,repariere,reparieren,"reparieren (to repair)"
284,Cases,multiple_choice,"Ich warte auf ___ Bus.",den,dem,der,"warten auf + Akkusativ"
285,W-Fragen,fill_in_blank,"___ kostet eine Fahrkarte?",Wie viel,Was,Wie,"Asking for price"
286,Sentences,build_sentence,"müssen|wir|jetzt|gehen",Wir müssen jetzt gehen.,,,
287,Pronouns,multiple_choice,"Interessierst du dich für ___?",mich,mir,ich,"sich interessieren für + Akkusativ"
288,Verbs,fill_in_blank,"Ich ___ dir die Wahrheit.",sage,sagst,sagt,"sagen (to say)"
289,Articles,multiple_choice,"Das Bild hängt an ___ Wand.",der,die,den,"an + Dativ (location)"
290,Haben/Sein,fill_in_blank,"Du ___ so blass.",bist,hast,sein,"sein (to be)"
291,Verbs,multiple_choice,"Er ___ die Tür auf.",schließt,schließe,schließen,"aufschließen (to unlock)"
292,Cases,fill_in_blank,"Sie geht durch ___ Tür.",die,der,dem,"durch + Akkusativ"
293,W-Fragen,fill_in_blank,"Mit ___ gehst du ins Kino?",wem,wen,wer,"mit + Dativ"
294,Sentences,build_sentence,"ich|dich|ab|hole|später",Ich hole dich später ab.,,,
295,Pronouns,multiple_choice,"Das ist nett von ___.",dir,dich,du,"von + Dativ"
296,Verbs,fill_in_blank,"Wir ___ eine Lösung.",finden,findet,finde,"finden (to find)"
297,Articles,multiple_choice,"Er wohnt bei ___ Eltern.",den,die,der,"bei + Dativ (Plural)"
298,Haben/Sein,fill_in_blank,"Ihr ___ Glück im Unglück.",habt,seid,haben,"Glück haben"
299,Verbs,multiple_choice,"Du ___ mir.",fehlst,fehle,fehlen,"fehlen (to be missing)"
300,Cases,fill_in_blank,"Ich denke an ___ Sommer.",den,der,dem,"denken an + Akkusativ"
301,Verbs,fill_in_blank,"Ich ___ das Fenster.",putze,putzt,putzen,"putzen (to clean)"
302,Articles,multiple_choice,"Sie hat ___ roten Pullover an.",einen,ein,einem,"der Pullover (masculine)"
303,Sentences,build_sentence,"er|hat|sein Handy|verloren",Er hat sein Handy verloren.,,,
304,Haben/Sein,fill_in_blank,"Er ___ einen Termin um 10 Uhr.",hat,ist,habe,"haben (to have)"
305,W-Fragen,multiple_choice,"___ ist deine Telefonnummer?",Wie,Was,Welche,"Asking for a phone number"
306,Pronouns,fill_in_blank,"Wir freuen uns auf ___.",euch,ihr,euer,"sich freuen auf + Akkusativ"
307,Verbs,fill_in_blank,"Wir ___ am See.",sitzen,sitzt,sitze,"sitzen (to sit)"
308,Cases,multiple_choice,"Das Auto fährt gegen ___ Wand.",die,der,den,"die Wand (feminine)"
309,Modal Verbs,fill_in_blank,"Ich ___ dir helfen.",möchte,mag,muss,"möchten (would like to)"
310,Haben/Sein,multiple_choice,"___ du einen Moment Zeit?",Hast,Bist,Habe,"Zeit haben"
311,Verbs,multiple_choice,"Ich ___ die Rechnung.",bezahle,bezahlst,bezahlt,"bezahlen (to pay)"
312,Articles,fill_in_blank,"Das ist ___ Freund von mir.",ein,einen,eine,"der Freund (Nominative)"
313,W-Fragen,fill_in_blank,"___ Thema interessiert dich?",Welches,Was,Wie,"Asking 'which topic'"
314,Sentences,build_sentence,"sie|mit|bringt|ihre Freundin",Sie bringt ihre Freundin mit.,,,
315,Pronouns,multiple_choice,"Er ist verliebt in ___.",sie,ihr,sich,"verliebt sein in + Akkusativ"
316,Verbs,fill_in_blank,"Er ___ die Treppe hinunter.",fällt,falle,fallen,"fallen (to fall - irregular)"
317,Cases,multiple_choice,"Wir sprechen über ___ Problem.",das,den,dem,"das Problem (neuter)"
318,Haben/Sein,fill_in_blank,"Du ___ mein bester Freund.",bist,hast,habe,"sein (to be)"
319,Verbs,multiple_choice,"Ihr ___ den Text.",übersetzt,übersetze,übersetzen,"übersetzen (to translate)"
320,Articles,fill_in_blank,"Er kommt aus ___ Türkei.",der,die,den,"aus + Dativ (country with article)"
321,W-Fragen,multiple_choice,"___ Tag ist heute?",Welcher,Was,Wie,"Asking 'which day'"
322,Sentences,build_sentence,"ich|habe|verstanden|die Frage|nicht",Ich habe die Frage nicht verstanden.,,,
323,Pronouns,fill_in_blank,"Wir kümmern uns um ___.",ihn,er,ihm,"sich kümmern um + Akkusativ"
324,Verbs,fill_in_blank,"Ich ___ eine E-Mail.",erwarte,erwartest,erwartet,"erwarten (to expect)"
325,Cases,multiple_choice,"Sie geht zu ___ Bäckerei.",der,die,den,"zu + Dativ"
326,Haben/Sein,fill_in_blank,"Ich ___ im falschen Film.",bin,habe,werde,"sein (to be)"
327,Verbs,multiple_choice,"Du ___ eine Jacke.",trägst,trage,tragen,"tragen (to wear - irregular)"
328,Articles,fill_in_blank,"Der Hund liegt unter ___ Tisch.",dem,den,der,"unter + Dativ (location)"
329,W-Fragen,fill_in_blank,"___ kommt als Nächstes?",Was,Wer,Wie,"Asking 'what's next'"
330,Sentences,build_sentence,"wollen|ins Kino|gehen|sie",Sie wollen ins Kino gehen.,,,
331,Pronouns,multiple_choice,"Ich bin stolz auf ___.",dich,dir,du,"stolz sein auf + Akkusativ"
332,Verbs,fill_in_blank,"Wir ___ den Zug.",verpassen,verpasst,verpasse,"verpassen (to miss)"
333,Cases,multiple_choice,"Er stellt das Glas neben ___ Flasche.",die,der,den,"neben + Akkusativ (destination)"
334,Haben/Sein,fill_in_blank,"Ihr ___ wirklich nett.",seid,habt,sind,"sein (to be)"
335,Verbs,multiple_choice,"Ich ___ dir Bescheid.",gebe,gibst,gibt,"Bescheid geben"
336,Articles,fill_in_blank,"Sie hat ___ interessante Frage.",eine,einen,ein,"die Frage (feminine)"
337,W-Fragen,fill_in_blank,"___ ist der Unterschied?",Was,Wie,Wo,"Asking 'what is the difference'"
338,Sentences,build_sentence,"er|hat|mir|geholfen",Er hat mir geholfen.,,,
339,Pronouns,multiple_choice,"Die Verantwortung liegt bei ___.",dir,dich,du,"bei + Dativ"
340,Verbs,fill_in_blank,"Du ___ die Pflanze.",gießt,gieße,gießen,"gießen (to water)"
341,Cases,multiple_choice,"Wir fahren an ___ See.",den,dem,der,"an + Akkusativ (destination)"
342,Haben/Sein,fill_in_blank,"Du ___ einen Vogel!",hast,bist,haben,"einen Vogel haben (to be crazy)"
343,Verbs,multiple_choice,"Er ___ das Auto.",wäscht,wasche,waschen,"waschen (to wash - irregular)"
344,Articles,fill_in_blank,"Das Buch liegt auf ___ Schreibtisch.",dem,den,der,"auf + Dativ (location)"
345,W-Fragen,fill_in_blank,"___ ist dein Lieblingssänger?",Wer,Was,Wie,"Asking 'who'"
346,Sentences,build_sentence,"kannst|du|wiederholen|das|bitte",Kannst du das bitte wiederholen?,,,
347,Pronouns,multiple_choice,"Die Entscheidung hängt von ___ ab.",dir,dich,du,"abhängen von + Dativ"
348,Modal Verbs,fill_in_blank,"Ihr ___ nicht so schnell fahren.",sollt,sollen,soll,"sollen (should)"
349,Cases,multiple_choice,"Sie hängt das Bild an ___ Wand.",die,der,den,"an + Akkusativ (destination)"
350,Haben/Sein,fill_in_blank,"Ich ___ eine Idee!",habe,bin,hatte,"haben (to have)"
351,Verbs,fill_in_blank,"Ich ___ meinen Geburtstag.",feiere,feierst,feiert,"feiern (to celebrate)"
352,Articles,multiple_choice,"Er kauft ___ Blumen für seine Frau.",die,den,der,"die Blumen (plural) - Akkusativ"
353,W-Fragen,fill_in_blank,"___ Bushaltestelle ist die nächste?",Welche,Was,Wie,"Asking 'which'"
354,Sentences,build_sentence,"hat|sie|bestanden|die Prüfung",Sie hat die Prüfung bestanden.,,,
355,Pronouns,multiple_choice,"Ärgerst du dich über ___?",mich,mir,ich,"sich ärgern über + Akkusativ"
356,Verbs,multiple_choice,"Wir ___ über das Wetter.",reden,redet,rede,"reden (to talk)"
357,Cases,fill_in_blank,"Das Kind versteckt sich hinter ___ Baum.",dem,den,der,"hinter + Dativ (location)"
358,Haben/Sein,fill_in_blank,"Ihr ___ in der Schule.",seid,habt,sind,"sein (to be)"
359,Verbs,fill_in_blank,"Du ___ mir ein Rätsel.",gibst,gebe,geben,"ein Rätsel aufgeben"
360,Articles,multiple_choice,"Ich habe ___ Termin beim Arzt.",einen,ein,eine,"der Termin (masculine)"
361,W-Fragen,fill_in_blank,"___ fährst du in den Urlaub?",Wohin,Wo,Woher,"Asking for destination"
362,Sentences,build_sentence,"ich|auf|freue mich|den Sommer",Ich freue mich auf den Sommer.,,,
363,Pronouns,multiple_choice,"Das Lied erinnert mich an ___.",dich,dir,du,"erinnern an + Akkusativ"
364,Verbs,multiple_choice,"Er ___ das Spiel.",gewinnt,gewinne,gewinnen,"gewinnen (to win)"
365,Cases,fill_in_blank,"Die Katze springt auf ___ Stuhl.",den,dem,der,"auf + Akkusativ (destination)"
366,Haben/Sein,fill_in_blank,"Du ___ wunderschön.",bist,hast,habe,"sein (to be)"
367,Verbs,fill_in_blank,"Ich ___ dir eine Geschichte.",erzähle,erzählst,erzählt,"erzählen (to tell)"
368,Articles,multiple_choice,"Wir sitzen vor ___ Fernseher.",dem,den,der,"vor + Dativ (location)"
369,W-Fragen,fill_in_blank,"___ hat das gesagt?",Wer,Was,Wie,"Asking 'who'"
370,Sentences,build_sentence,"du|sollst|anrufen|deine Mutter",Du sollst deine Mutter anrufen.,,,
371,Pronouns,multiple_choice,"Er kümmert sich um ___.",uns,wir,unser,"sich kümmern um + Akkusativ"
372,Modal Verbs,fill_in_blank,"Sie ___ sehr gut singen.",kann,können,kannst,"können (can)"
373,Cases,multiple_choice,"Er geht an ___ Supermarkt vorbei.",dem,den,der,"an + Dativ (location)"
374,Haben/Sein,fill_in_blank,"Ich ___ eine Bitte.",habe,bin,hast,"eine Bitte haben"
375,Verbs,fill_in_blank,"Du ___ mir ähnlich.",siehst,sehe,sehen,"ähnlich sehen + Dativ"
376,Articles,multiple_choice,"Er hat ___ Bruder und ___ Schwester.",einen, eine,ein, eine,"masculine and feminine objects"
377,W-Fragen,fill_in_blank,"___ Uhr ist es?",Wie viel,Was,Wie,"Asking for the time"
378,Sentences,build_sentence,"ich|habe|getroffen|einen Freund",Ich habe einen Freund getroffen.,,,
379,Pronouns,multiple_choice,"Ich habe Angst vor ___.",ihm,ihn,er,"Angst haben vor + Dativ"
380,Verbs,fill_in_blank,"Ihr ___ die Lösung.",wisst,wissen,wisse,"wissen (to know)"
381,Cases,multiple_choice,"Das Flugzeug fliegt über ___ Stadt.",die,der,den,"über + Akkusativ (destination)"
382,Haben/Sein,fill_in_blank,"Wir ___ auf dem Weg.",sind,haben,seid,"sein (to be)"
383,Verbs,fill_in_blank,"Er ___ sein Wort.",bricht,breche,brechen,"brechen (to break - irregular)"
384,Articles,multiple_choice,"Das Handy liegt zwischen ___ Büchern.",den,die,der,"zwischen + Dativ (Plural)"
385,W-Fragen,fill_in_blank,"___ denkst du darüber?",Was,Wie,Wer,"Asking 'what do you think'"
386,Sentences,build_sentence,"es|regnet|heute",Es regnet heute.,,,
387,Pronouns,multiple_choice,"Sie träumt von ___.",dir,dich,du,"träumen von + Dativ"
388,Verbs,fill_in_blank,"Ich ___ die Einladung an.",nehme,nimmst,nimmt,"annehmen (to accept - separable)"
389,Cases,multiple_choice,"Er kommt aus ___ Iran.",dem,den,der,"aus + Dativ (country with article)"
390,Haben/Sein,fill_in_blank,"Du ___ eine gute Köchin.",bist,hast,haben,"sein (to be)"
391,Verbs,fill_in_blank,"Sie (she) ___ mir zu.",hört,höre,hören,"zuhören (to listen to - separable)"
392,Articles,multiple_choice,"Ich stelle die Blumen in ___ Vase.",die,der,dem,"die Vase (feminine)"
393,W-Fragen,fill_in_blank,"___ hast du das gehört?",Von wem,Von wen,Wer,"Asking 'from whom'"
394,Sentences,build_sentence,"ich|muss|meine Hausaufgaben|machen",Ich muss meine Hausaufgaben machen.,,,
395,Pronouns,multiple_choice,"Wir sind ___ dankbar.",euch,ihr,euer,"dankbar sein + Dativ"
396,Verbs,fill_in_blank,"Er ___ die Flasche.",öffnet,öffne,öffnen,"öffnen (to open)"
397,Cases,multiple_choice,"Das Restaurant ist neben ___ Post.",der,die,dem,"neben + Dativ (location)"
398,Haben/Sein,fill_in_blank,"Ihr ___ so viel Energie.",habt,seid,sind,"haben (to have)"
399,Verbs,fill_in_blank,"Ich ___ den Film.",empfehle,empfiehlst,empfehlt,"empfehlen (to recommend - irregular)"
400,Articles,multiple_choice,"Sie hat ___ schönes Kleid an.",ein,einen,eine,"das Kleid (neuter)"
401,W-Fragen,fill_in_blank,"___ ist das Problem?",Was,Wer,Wie,"Asking 'what is the problem'"
402,Sentences,build_sentence,"hast|du|Zeit|morgen|?",Hast du morgen Zeit?,,,
403,Pronouns,multiple_choice,"Ich spreche mit ___.",ihr,sie,sich,"mit + Dativ"
404,Verbs,fill_in_blank,"Du ___ die Straße.",überquerst,überquere,überqueren,"überqueren (to cross)"
405,Cases,multiple_choice,"Er fährt ohne ___ Führerschein.",einen,einem,ein,"der Führerschein (masculine)"
406,Haben/Sein,fill_in_blank,"Ich ___ am Telefon.",bin,habe,werde,"sein (to be)"
407,Verbs,multiple_choice,"Wir ___ das Museum.",besichtigen,besichtigt,besichtige,"besichtigen (to visit a place)"
408,Articles,fill_in_blank,"Das Essen steht auf ___ Tisch.",dem,den,der,"auf + Dativ (location)"
409,W-Fragen,fill_in_blank,"___ soll ich tun?",Was,Wie,Wer,"Asking 'what should I do'"
410,Sentences,build_sentence,"er|muss|sich|beeilen",Er muss sich beeilen.,,,
411,Pronouns,multiple_choice,"Ich warte auf ___.",Sie,Ihnen,Ihr,"warten auf + Akkusativ (formal)"
412,Modal Verbs,fill_in_blank,"Er ___ nicht schwimmen.",kann,können,kannst,"können (can)"
413,Cases,multiple_choice,"Die Kinder spielen in ___ Garten.",dem,den,der,"in + Dativ (location)"
414,Haben/Sein,fill_in_blank,"Du ___ schönes Wetter bestellt.",hast,bist,haben,"Perfekt tense"
415,Verbs,fill_in_blank,"Ich ___ dir die Tür auf.",halte,hältst,hält,"aufhalten (to hold open - separable)"
416,Articles,multiple_choice,"Sie sucht nach ___ Lösung.",einer,eine,einen,"nach + Dativ"
417,W-Fragen,fill_in_blank,"___ bist du so glücklich?",Warum,Wann,Wo,"Asking 'why'"
418,Sentences,build_sentence,"ich|habe|bezahlt|die Rechnung",Ich habe die Rechnung bezahlt.,,,
419,Pronouns,multiple_choice,"Glaubst du an ___?",mich,mir,ich,"glauben an + Akkusativ"
420,Verbs,fill_in_blank,"Ihr ___ das Lied mit.",singt,singe,singen,"mitsingen (to sing along - separable)"
421,Cases,multiple_choice,"Das Buch ist von ___ berühmten Autor.",einem,einen,ein,"von + Dativ"
422,Haben/Sein,fill_in_blank,"Wir ___ eine tolle Zeit.",haben,sind,seid,"eine tolle Zeit haben"
423,Verbs,fill_in_blank,"Er ___ die Suppe um.",rührt,rühre,rühren,"umrühren (to stir - separable)"
424,Articles,multiple_choice,"Das liegt an ___ Wetter.",dem,den,das,"an + Dativ"
425,W-Fragen,fill_in_blank,"Zu ___ Arzt gehst du?",welchem,welchen,welcher,"Asking 'to which doctor'"
426,Sentences,build_sentence,"kannst|du|das Fenster|schließen|bitte",Kannst du bitte das Fenster schließen?,,,
427,Pronouns,multiple_choice,"Ich beteilige mich an ___ Diskussion.",der,die,den,"sich beteiligen an + Dativ"
428,Verbs,fill_in_blank,"Du ___ die Prüfung nicht.",fürchtest,fürchte,fürchten,"fürchten (to fear)"
429,Cases,multiple_choice,"Er arbeitet bei ___ großen Firma.",einer,eine,einen,"bei + Dativ"
430,Haben/Sein,fill_in_blank,"Ihr ___ auf der sicheren Seite.",seid,habt,sind,"sein (to be)"
431,Verbs,fill_in_blank,"Ich ___ das nicht.",glaube,glaubst,glaubt,"glauben (to believe)"
432,Articles,multiple_choice,"Wir gehen um ___ See spazieren.",den,dem,der,"um + Akkusativ"
433,W-Fragen,fill_in_blank,"___ steht auf dem Programm?",Was,Wer,Wie,"Asking 'what's on the agenda'"
434,Sentences,build_sentence,"er|hat|sich|verletzt|am Fuß",Er hat sich am Fuß verletzt.,,,
435,Pronouns,multiple_choice,"Sie zweifelt an ___.",dir,dich,du,"zweifeln an + Dativ"
436,Verbs,fill_in_blank,"Wir ___ den Sonnenuntergang.",genießen,genießt,genieße,"genießen (to enjoy)"
437,Cases,multiple_choice,"Das Büro ist über ___ Wohnung.",der,die,dem,"über + Dativ (location)"
438,Haben/Sein,fill_in_blank,"Ich ___ es eilig.",habe,bin,hast,"es eilig haben (to be in a hurry)"
439,Verbs,fill_in_blank,"Du ___ das Licht aus.",machst,mache,machen,"ausmachen (to turn off - separable)"
440,Articles,multiple_choice,"Er erinnert sich an ___ Tag.",den,dem,der,"sich erinnern an + Akkusativ"
441,W-Fragen,fill_in_blank,"___ Bus fährt zum Bahnhof?",Welcher,Welchen,Welchem,"Asking 'which bus'"
442,Sentences,build_sentence,"ich|möchte|werden|Arzt",Ich möchte Arzt werden.,,,
443,Pronouns,multiple_choice,"Das ist eine Überraschung für ___.",uns,wir,unser,"für + Akkusativ"
444,Modal Verbs,fill_in_blank,"Du ___ nicht lügen.",darfst,kannst,sollst,"sollen (should)"
445,Cases,multiple_choice,"Er wartet vor ___ Kino.",dem,den,das,"vor + Dativ (location)"
446,Haben/Sein,fill_in_blank,"Ihr ___ spät dran.",seid,habt,sind,"spät dran sein (to be late)"
447,Verbs,fill_in_blank,"Ich ___ dir zu.",stimme,stimmst,stimmt,"zustimmen (to agree with)"
448,Articles,multiple_choice,"Sie hat Angst vor ___ Prüfung.",der,die,den,"vor + Dativ"
449,W-Fragen,fill_in_blank,"___ hast du das Buch gelegt?",Wohin,Wo,Woher,"Asking for destination (wohin)"
450,Sentences,build_sentence,"sie|hat|versucht|anzurufen|mich",Sie hat versucht, mich anzurufen.,,,
451,Pronouns,multiple_choice,"Das hängt von ___ ab.",euch,ihr,euer,"abhängen von + Dativ"
452,Verbs,fill_in_blank,"Er ___ die Zeitung.",abonniert,abonniere,abonnieren,"abonnieren (to subscribe to)"
453,Cases,multiple_choice,"Das ist die Meinung ___ Experten.",des,den,dem,"Genitiv (A2/B1)"
454,Haben/Sein,fill_in_blank,"Ich ___ im Bilde.",bin,habe,werde,"im Bilde sein (to be informed)"
455,Verbs,fill_in_blank,"Du ___ die Suppe.",versalzt,versalze,salzen,"versalzen (to oversalt)"
456,Articles,multiple_choice,"Er protestiert gegen ___ Entscheidung.",die,der,den,"gegen + Akkusativ"
457,W-Fragen,fill_in_blank,"Über ___ lacht ihr?",was,wem,wen,"lachen über + Akkusativ"
458,Sentences,build_sentence,"ich|habe|bezahlt|mit Karte",Ich habe mit Karte bezahlt.,,,
459,Pronouns,multiple_choice,"Ich verlasse mich auf ___.",dich,dir,du,"sich verlassen auf + Akkusativ"
460,Verbs,fill_in_blank,"Ihr ___ das Problem.",löst,löse,lösen,"lösen (to solve)"
461,Cases,multiple_choice,"Sie kämpft für ___ Rechte.",die,den,der,"für + Akkusativ (Plural)"
462,Haben/Sein,fill_in_blank,"Wir ___ dasselbe Problem.",haben,sind,seid,"haben (to have)"
463,Verbs,fill_in_blank,"Er ___ seine Meinung.",ändert,ändere,ändern,"ändern (to change)"
464,Articles,multiple_choice,"Ich bin mit ___ Plan einverstanden.",dem,den,der,"mit + Dativ"
465,W-Fragen,fill_in_blank,"Wofür ___ du dich?",interessierst,interessiere,interessieren,"sich interessieren für"
466,Sentences,build_sentence,"sie|hat|sich|erkältet",Sie hat sich erkältet.,,,
467,Pronouns,multiple_choice,"Das Konzert gefällt ___.",mir,mich,ich,"gefallen + Dativ"
468,Modal Verbs,fill_in_blank,"Man ___ das nicht essen.",kann,darf,muss,"können (can)"
469,Cases,multiple_choice,"Die Katze liegt unter ___ Decke.",der,die,den,"unter + Dativ (location)"
470,Haben/Sein,fill_in_blank,"Du ___ an der Reihe.",bist,hast,haben,"an der Reihe sein (to be one's turn)"
471,Verbs,fill_in_blank,"Ich ___ dir etwas.",schulde,schuldest,schuldet,"schulden (to owe)"
472,Articles,multiple_choice,"Wir fahren durch ___ Tunnel.",den,dem,der,"durch + Akkusativ"
473,W-Fragen,fill_in_blank,"___ geht die Reise?",Wohin,Wo,Woher,"Asking for destination"
474,Sentences,build_sentence,"er|hat|vergessen|einzukaufen",Er hat vergessen einzukaufen.,,,
475,Pronouns,multiple_choice,"Ich sorge für ___.",ihn,er,ihm,"sorgen für + Akkusativ"
476,Verbs,fill_in_blank,"Du ___ die Geschichte.",erfindest,erfinde,erfinden,"erfinden (to invent)"
477,Cases,multiple_choice,"Sie wohnt gegenüber ___ Bahnhof.",dem,den,der,"gegenüber + Dativ"
478,Haben/Sein,fill_in_blank,"Ihr ___ im Stress.",seid,habt,sind,"im Stress sein"
479,Verbs,fill_in_blank,"Ich ___ das Paket ab.",hole,holst,holt,"abholen (to pick up - separable)"
480,Articles,multiple_choice,"Er hat ___ starken Willen.",einen,ein,eine,"der Wille (masculine)"
481,W-Fragen,fill_in_blank,"Womit ___ du?",schreibst,schreibe,schreiben,"Asking 'with what'"
482,Sentences,build_sentence,"ich|lerne|weil|ich|will|eine Prüfung bestehen",Ich lerne, weil ich eine Prüfung bestehen will.,,,
483,Pronouns,multiple_choice,"Die Schuhe passen ___ nicht.",mir,mich,ich,"passen + Dativ"
484,Verbs,fill_in_blank,"Wir ___ eine Pause.",brauchen,braucht,brauche,"brauchen (to need)"
485,Cases,multiple_choice,"Das ist außerhalb ___ Stadt.",der,die,den,"außerhalb + Genitiv (A2/B1)"
486,Haben/Sein,fill_in_blank,"Ich ___ die Nase voll.",habe,bin,hast,"die Nase voll haben (to be fed up)"
487,Verbs,fill_in_blank,"Er ___ die Einladung ab.",lehnt,lehne,lehnen,"ablehnen (to decline)"
488,Articles,multiple_choice,"Sie geht in ___ Bibliothek.",die,der,den,"in + Akkusativ (destination)"
489,W-Fragen,fill_in_blank,"Wovon ___ du?",sprichst,spreche,sprechen,"sprechen von + Dativ"
490,Sentences,build_sentence,"er|ist|geworden|ein guter Lehrer",Er ist ein guter Lehrer geworden.,,,
491,Pronouns,multiple_choice,"Die Ehre gebührt ___.",Ihnen,Sie,Ihr,"gebühren + Dativ (formal)"
492,Modal Verbs,fill_in_blank,"Ich ___ heute Abend nicht ausgehen.",mag,möchte,will,"mögen (to feel like)"
493,Cases,multiple_choice,"Er stellt den Stuhl an ___ Tisch.",den,dem,der,"an + Akkusativ (destination)"
494,Haben/Sein,fill_in_blank,"Du ___ einen Kater.",hast,bist,haben,"einen Kater haben (to have a hangover)"
495,Verbs,fill_in_blank,"Ich ___ meine Meinung.",verteidige,verteidigst,verteidigt,"verteidigen (to defend)"
496,Articles,multiple_choice,"Das Spielzeug gehört ___ Kind.",dem,das,den,"das Kind (Dativ)"
497,W-Fragen,fill_in_blank,"Worüber ___ du dich?",ärgerst,ärgere,ärgern,"sich ärgern über + Akkusativ"
498,Sentences,build_sentence,"ich|habe|geschlafen|gut",Ich habe gut geschlafen.,,,
499,Pronouns,multiple_choice,"Ich erzähle ___ eine Geschichte.",euch,ihr,euer,"ihr -> euch (dative)"
500,Verbs,fill_in_blank,"Ihr ___ die Regeln.",brecht,breche,brechen,"brechen (to break)"
501,Verbs,fill_in_blank,"Der Koch ___ das Essen.",kocht,koche,kochen,"kochen (to cook)"
502,Cases,multiple_choice,"Ich warte auf ___ Antwort.",eine,einen,ein,"die Antwort (feminine)"
503,W-Fragen,fill_in_blank,"___ hast du das getan?",Warum,Wann,Wer,"Asking 'why'"
504,Sentences,build_sentence,"sie|hat|einen Brief|geschrieben",Sie hat einen Brief geschrieben.,,,
505,Pronouns,multiple_choice,"Ich bin mit ___ einverstanden.",dir,dich,du,"einverstanden sein mit + Dativ"
506,Verbs,multiple_choice,"Wir ___ unsere Oma.",besuchen,besucht,besuche,"besuchen (to visit)"
507,Articles,fill_in_blank,"Er liest ___ spannendes Buch.",ein,einen,eine,"das Buch (neuter)"
508,Haben/Sein,fill_in_blank,"Ihr ___ nicht allein.",seid,habt,sind,"sein (to be)"
509,Verbs,fill_in_blank,"Du ___ dein Versprechen.",hältst,halte,halten,"halten (to keep - irregular)"
510,Cases,multiple_choice,"Das Auto gehört ___ Nachbarn.",dem,den,der,"der Nachbar (Dativ)"
511,W-Fragen,fill_in_blank,"___ ist der Plan?",Was,Wer,Wie,"Asking 'what is the plan'"
512,Sentences,build_sentence,"ich|will|lernen|Deutsch|sprechen",Ich will lernen, Deutsch zu sprechen.,,,
513,Pronouns,multiple_choice,"Die Tasche gehört ___.",mir,mich,ich,"gehören + Dativ"
514,Verbs,fill_in_blank,"Er ___ die Einladung an.",nimmt,nehme,nehmen,"annehmen (to accept - separable)"
515,Articles,multiple_choice,"Ich lege das Kissen auf ___ Sofa.",das,den,dem,"das Sofa (Akkusativ)"
516,Haben/Sein,fill_in_blank,"Ich ___ eine Schwester.",habe,bin,hat,"haben (to have)"
517,Verbs,fill_in_blank,"Ihr ___ die Blumen.",gießt,gieße,gießen,"gießen (to water)"
518,Cases,multiple_choice,"Er denkt an ___ Zukunft.",die,der,den,"die Zukunft (feminine)"
519,W-Fragen,fill_in_blank,"___ weit ist es bis zum Bahnhof?",Wie,Was,Wo,"Asking for distance"
520,Sentences,build_sentence,"er|hat|vergessen|seinen Regenschirm",Er hat seinen Regenschirm vergessen.,,,
521,Pronouns,multiple_choice,"Sie hat ___ geholfen.",uns,wir,unser,"helfen + Dativ"
522,Verbs,fill_in_blank,"Ich ___ die Tür.",schließe,schließt,schließen,"schließen (to close)"
523,Articles,multiple_choice,"Wir wohnen in ___ alten Haus.",einem,einen,ein,"das Haus (Dativ)"
524,Haben/Sein,fill_in_blank,"Du ___ ein Genie.",bist,hast,sein,"sein (to be)"
